Title|SubTitle|Author|Date|nComments|DateExtraction|URL
Team Ninja está interessada em adicionar um mundo aberto ao próximo Nioh|O jogo se passar durante os Três Reinos da China também é uma possibilidade!|Vinicius|Quarta, 03 de fevereiro de 2021 às 15:17|45|03/02/2021 22:36:04|https://www.gamevicio.com/noticias/2021/02/team-ninja-esta-interessada-em-adicionar-um-mundo-aberto-ao-proximo-nioh/
Conheça Blind Drive, um jogo para se jogar com os olhos fechados|Jogo ganha demo no Steam!|Vinicius|Quarta, 03 de fevereiro de 2021 às 14:51|20|03/02/2021 22:36:18|https://www.gamevicio.com/noticias/2021/02/conheca-blind-drive-um-jogo-para-se-jogar-com-os-olhos-fechados/
Jade Raymond fala sobre sua saída do Google e do fechamanto da Stadia Games & Entertainment|A lendária diretora de Assassin's Creed e Splinter Cell recentemente deixou a Google|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 14:37|74|03/02/2021 22:36:31|https://www.gamevicio.com/noticias/2021/02/jade-raymond-fala-sobre-sua-saida-do-google-e-do-fechamanto-da-stadia-games-e-entertainment/
Electronic Arts diz que planeja lançar pelo menos 1 jogo de corrida todos os anos|Após finalizar a aquisição da Codemasters|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 14:05|57|03/02/2021 22:36:44|https://www.gamevicio.com/noticias/2021/02/electronic-arts-diz-que-planeja-lancar-pelo-menos-1-jogo-de-corrida-todos-os-anos/
Nos últimos 12 meses, 64% dos jogos da EA no PS4 e Xbox One foram vendidos no formato digital|Um aumento de 49% em relação ao mesmo período anterior|Renatito|Quarta, 03 de fevereiro de 2021 às 13:33|23|03/02/2021 22:36:58|https://www.gamevicio.com/noticias/2021/02/nos-ultimos-12-meses-64-dos-jogos-da-ea-no-ps4-e-xbox-one-foram-vendidos-no-formato-digital/
Control Ultimate Edition - a experiência da próxima geração em comparação com os consoles PS5 e Xbox|É bem próxima...|Alvarenga|Quarta, 03 de fevereiro de 2021 às 12:24|220|03/02/2021 22:37:14|https://www.gamevicio.com/noticias/2021/02/control-ultimate-edition-a-experiencia-da-proxima-geracao-em-comparacao-com-os-consoles-ps5-e-xbox/
Total War: Warhammer 3 é oficialmente anunciado pela SEGA Europe e Creative Assembly|Chegando em 2021 para PCs na Steam e Epic Games Store|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 12:22|43|03/02/2021 22:37:25|https://www.gamevicio.com/noticias/2021/02/total-war-warhammer-3-e-oficialmente-anunciado-pela-sega-europe-e-creative-assembly/
Microsoft havia tentado adquirir a Gearbox Software antes da Embracer Group|As 2 estavam na disputa pelo estúdio, adquirido por US$ 1,3 Bilhões pela empresa-mãe da THQ Nordic|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 12:13|181|03/02/2021 22:37:38|https://www.gamevicio.com/noticias/2021/02/microsoft-havia-tentado-adquirir-a-gearbox-software-antes-da-embracer-group/
Square Enix registra aumento na receita trimestral da empresa, porém os lucros ficaram abaixo do esperado|Square Enix Europe e Marvel's Avengers continuam sendo o maior empecilho da editora Japonesa|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 12:01|62|03/02/2021 22:37:51|https://www.gamevicio.com/noticias/2021/02/square-enix-registra-aumento-na-receita-trimestral-da-empresa-porem-os-lucros-ficaram-abaixo-do-esperado/
Gearbox continuará trabalhando com a 2K na franquia Borderlands|Aquisição da Gearbox pela Embracer não irá alterar o desenvolvimento da franquia.|Vinicius|Quarta, 03 de fevereiro de 2021 às 11:37|18|03/02/2021 22:38:03|https://www.gamevicio.com/noticias/2021/02/gearbox-continuara-trabalhando-com-a-2k-na-franquia-borderlands/
Experiment 101 diz que fãs de Zelda: Breath of the Wild e Middle-Earth: Shadow of Mordor devem gostar de BioMutant|Estúdio diz que se inspirou bastante nessas obras da Nintendo e Warner Bros. Games|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 15:38|40|04/02/2021 00:00:50|https://www.gamevicio.com/noticias/2021/02/experiment-101-diz-que-fas-de-zelda-breath-of-the-wild-e-middle-earth-shadow-of-mordor-devem-gostar-de-biomutant/
European Gaming e a Stashbird fazem uma lista com os 10 personagens mais populares dos videogames|Venha conferir os que ficaram no Ranking de Top 10|Billy Butcher|Quinta, 04 de fevereiro de 2021 às 10:10|156|04/02/2021 22:03:51|https://www.gamevicio.com/noticias/2021/02/european-gaming-e-a-stashbird-fazem-uma-lista-com-os-10-personagens-mais-populares-dos-videogames/
Scars of Honor: Conheça este ambicioso novo projeto indie de um MMORPG|Game criado por amantes de MMORPG pode ser um destaque no gênero sendo um game criado junto com sua comunidade|Allan Kardec|Quinta, 04 de fevereiro de 2021 às 10:05|17|04/02/2021 22:04:04|https://www.gamevicio.com/noticias/2021/02/scars-of-honor-conheca-este-ambicioso-novo-projeto-indie-de-um-mmorpg/
Stubbs the Zombie será relançado para os Xbox Series X-S e Xbox One em 16 de Março|É um antigo exclusivo de Xbox Original e PC lançado pela Aspyr Media|Billy Butcher|Quinta, 04 de fevereiro de 2021 às 10:01|24|04/02/2021 22:04:17|https://www.gamevicio.com/noticias/2021/02/stubbs-the-zombie-sera-relancado-para-os-xbox-series-x-s-e-xbox-one-em-16-de-marco/
Eiyuu*Senki GOLD: jogo de estratégia em turnos será lançado no ocidente esta semana|Game será lançado pela JAST USA totalmente sem censura|Allan Kardec|Quinta, 04 de fevereiro de 2021 às 08:42|9|04/02/2021 22:04:29|https://www.gamevicio.com/noticias/2021/02/eiyuu-senki-gold-jogo-de-estrategia-em-turnos-sera-lancado-no-ocidente-esta-semana/
Launch Trailer de The Nioh Collection detalha sua melhorias e novos recursos|Coleção com os 2 jogos chegará amanhã para PS5, PS4 e PC|Billy Butcher|Quinta, 04 de fevereiro de 2021 às 08:41|26|04/02/2021 22:04:42|https://www.gamevicio.com/noticias/2021/02/launch-trailer-de-the-nioh-collection-detalha-sua-melhorias-e-novos-recursos/
"Diretor de Ori critica os desenvolvedores por exagerar nos jogos com ""mentiras e falsidades"""|"Thomas Malher chamou Peter Molyneux, Sean Murray e a CD Projekt RED de ""vendedores de óleo de cobra"""|Billy Butcher|Quinta, 04 de fevereiro de 2021 às 08:35|134|04/02/2021 22:04:55|https://www.gamevicio.com/noticias/2021/02/diretor-de-ori-critica-os-desenvolvedores-por-exagerar-nos-jogos-com-mentiras-e-falsidades/
Konami registra receita e lucros recordes em seu último trimestre fiscal|Impulsionado pelas excelentes vendas de Momotaro Dentetsu e PES|Billy Butcher|Quinta, 04 de fevereiro de 2021 às 08:23|37|04/02/2021 22:05:09|https://www.gamevicio.com/noticias/2021/02/konami-registra-receita-e-lucros-recordes-em-seu-ultimo-trimestre-fiscal/
Werewolf: The Apocalypse - Earthblood - Confira as Notas que o jogo vem recebendo|A nova obra do famoso World of Darkness|Billy Butcher|Quinta, 04 de fevereiro de 2021 às 08:16|54|04/02/2021 22:05:21|https://www.gamevicio.com/noticias/2021/02/werewolf-the-apocalypse-earthblood-confira-as-notas-que-o-jogo-vem-recebendo/
Kadokawa Corporation forma aliança de capital com CyberAgent e Sony para fortalecer os negócios|Exploração mútua dos negócios, experiência e pontos fortes de cada empresa.|Alvarenga|Quinta, 04 de fevereiro de 2021 às 08:13|105|04/02/2021 22:05:33|https://www.gamevicio.com/noticias/2021/02/kadokawa-corporation-forma-alianca-de-capital-com-cyberagent-e-sony-para-fortalecer-os-negocios/
Destruction All-Stars - Confira as Notas que o jogo vem recebendo|O primeiro exclusivo do PS5 no ano de 2021|Billy Butcher|Quinta, 04 de fevereiro de 2021 às 07:57|183|04/02/2021 22:05:47|https://www.gamevicio.com/noticias/2021/02/destruction-all-stars-confira-as-notas-que-o-jogo-vem-recebendo/
Demon Slayer: Kimetsu no Yaiba - Hinokami Kepputan será lançado para PS4, PS5, PC e Xbox One|Anteriormente apenas confirmado para PS4|MD|Quinta, 04 de fevereiro de 2021 às 07:57|26|04/02/2021 22:05:59|https://www.gamevicio.com/noticias/2021/02/demon-slayer-kimetsu-no-yaiba-hinokami-kepputan-sera-lancado-para-ps4-ps5-pc-e-xbox-one/
